Perception,Target,iptm,ptm,ligand_fls2_iptm,ligand_coreceptor_iptm,ligand_pae_min_fls2,ligand_pae_min_coreceptor
No perception,0,0.8366666666666666,0.86,0.4633333333333333,0.26,11.566666666666668,11.576666666666666
No perception,0,0.8633333333333333,0.87,0.5333333333333333,0.3033333333333334,9.51,10.72
No perception,0,0.87,0.8733333333333334,0.5766666666666667,0.3466666666666667,8.270000000000001,9.533333333333333
No perception,0,0.9033333333333333,0.89,0.7766666666666667,0.5866666666666666,3.5766666666666667,3.22
No perception,0,0.87,0.87,0.5866666666666666,0.35333333333333333,8.483333333333333,10.126666666666667
No perception,0,0.8366666666666666,0.8633333333333333,0.55,0.2933333333333333,10.090000000000002,11.33
No perception,0,0.87,0.8733333333333334,0.64,0.38666666666666666,6.9433333333333325,9.719999999999999
No perception,0,0.89,0.8833333333333333,0.7033333333333333,0.47333333333333333,5.553333333333334,6.083333333333333
No perception,0,0.88,0.8733333333333334,0.6333333333333333,0.38999999999999996,7.086666666666666,9.306666666666667
No perception,0,0.87,0.8733333333333334,0.6833333333333335,0.41,6.033333333333334,8.936666666666666
No perception,0,0.85,0.8633333333333333,0.49333333333333335,0.28,10.096666666666666,11.063333333333333
No perception,0,0.89,0.8833333333333333,0.6966666666666667,0.43333333333333335,5.226666666666667,7.873333333333334
No perception,0,0.8966666666666666,0.8866666666666667,0.6833333333333332,0.49,5.493333333333333,4.736666666666667
No perception,0,0.86,0.87,0.5033333333333333,0.28,9.383333333333333,10.57
No perception,0,0.8866666666666667,0.8733333333333334,0.6933333333333334,0.4466666666666666,5.3566666666666665,8.19
No perception,0,0.8666666666666667,0.87,0.62,0.37666666666666665,7.28,9.353333333333333
